,Bordeaux-style Red Blend,Cabernet Sauvignon,Chardonnay,Pinot Noir,Red Blend
0,89.0,96.0,95.0,96.0,90.0
1,89.0,95.0,95.0,95.0,90.0
2,88.0,90.0,94.0,95.0,90.0
3,88.0,90.0,90.0,95.0,90.0
4,87.0,90.0,90.0,95.0,89.0
5,87.0,91.0,90.0,95.0,89.0
6,87.0,91.0,90.0,95.0,89.0
7,87.0,91.0,91.0,95.0,89.0
8,87.0,91.0,91.0,94.0,89.0
9,87.0,91.0,91.0,94.0,87.0
10,87.0,91.0,91.0,94.0,88.0
11,88.0,86.0,86.0,90.0,94.0
12,88.0,86.0,86.0,91.0,94.0
13,92.0,86.0,86.0,91.0,90.0
14,91.0,86.0,86.0,91.0,90.0
15,90.0,90.0,91.0,91.0,90.0
16,87.0,90.0,90.0,91.0,87.0
17,89.0,89.0,90.0,91.0,87.0
18,92.0,87.0,90.0,91.0,86.0
19,92.0,93.0,89.0,91.0,89.0
20,92.0,93.0,88.0,91.0,89.0
21,93.0,93.0,87.0,91.0,89.0
22,91.0,93.0,87.0,90.0,89.0
23,90.0,88.0,88.0,89.0,89.0
24,88.0,92.0,88.0,89.0,89.0
25,90.0,94.0,88.0,89.0,92.0
26,85.0,94.0,92.0,89.0,94.0
27,87.0,94.0,92.0,89.0,93.0
28,87.0,94.0,91.0,88.0,91.0
29,87.0,91.0,91.0,88.0,90.0
30,87.0,91.0,94.0,88.0,90.0
31,87.0,91.0,94.0,88.0,90.0
32,87.0,90.0,91.0,88.0,86.0
33,87.0,90.0,91.0,92.0,85.0
34,87.0,90.0,91.0,92.0,85.0
35,87.0,90.0,91.0,92.0,85.0
36,92.0,90.0,91.0,91.0,89.0
37,91.0,90.0,90.0,91.0,89.0
38,88.0,90.0,90.0,91.0,89.0
39,88.0,90.0,90.0,91.0,89.0
40,88.0,87.0,90.0,94.0,89.0
41,87.0,87.0,87.0,94.0,89.0
42,87.0,87.0,87.0,94.0,87.0
43,87.0,87.0,86.0,94.0,87.0
44,87.0,86.0,86.0,94.0,87.0
45,87.0,89.0,89.0,94.0,87.0
46,87.0,89.0,92.0,94.0,90.0
47,87.0,92.0,92.0,94.0,90.0
48,90.0,90.0,92.0,91.0,90.0
49,92.0,90.0,92.0,91.0,90.0
50,92.0,90.0,92.0,91.0,90.0
51,92.0,94.0,92.0,91.0,90.0
52,92.0,93.0,92.0,90.0,90.0
53,92.0,93.0,92.0,90.0,92.0
54,87.0,93.0,92.0,90.0,92.0
55,87.0,91.0,90.0,90.0,92.0
56,87.0,90.0,90.0,90.0,93.0
57,87.0,90.0,94.0,90.0,89.0
58,87.0,90.0,94.0,86.0,89.0
59,87.0,90.0,93.0,86.0,89.0
60,87.0,85.0,93.0,89.0,89.0
61,87.0,85.0,91.0,89.0,89.0
62,87.0,85.0,91.0,89.0,89.0
63,88.0,89.0,91.0,89.0,89.0
64,91.0,89.0,91.0,90.0,89.0
65,91.0,87.0,90.0,90.0,90.0
66,91.0,87.0,90.0,90.0,90.0
67,91.0,87.0,88.0,90.0,91.0
68,90.0,90.0,88.0,90.0,91.0
69,85.0,90.0,88.0,90.0,91.0
70,84.0,90.0,90.0,94.0,87.0
71,92.0,90.0,90.0,94.0,90.0
72,87.0,90.0,90.0,94.0,90.0
73,90.0,92.0,85.0,94.0,90.0
74,90.0,92.0,85.0,93.0,90.0
75,90.0,92.0,85.0,93.0,93.0
76,88.0,93.0,89.0,93.0,90.0
77,88.0,93.0,89.0,93.0,85.0
78,92.0,89.0,87.0,91.0,87.0
79,84.0,89.0,90.0,91.0,87.0
80,91.0,89.0,90.0,91.0,87.0
81,91.0,90.0,90.0,90.0,89.0
82,91.0,90.0,92.0,90.0,89.0
83,91.0,90.0,92.0,90.0,89.0
84,91.0,90.0,92.0,88.0,88.0
85,91.0,85.0,92.0,88.0,88.0
86,91.0,87.0,93.0,88.0,88.0
87,87.0,87.0,93.0,88.0,88.0
88,87.0,87.0,93.0,88.0,88.0
89,87.0,87.0,93.0,88.0,88.0
90,87.0,87.0,89.0,88.0,90.0
91,87.0,90.0,90.0,90.0,90.0
92,87.0,90.0,90.0,90.0,90.0
93,87.0,90.0,85.0,90.0,90.0
94,90.0,90.0,85.0,89.0,90.0
95,88.0,90.0,85.0,89.0,90.0
96,88.0,93.0,85.0,89.0,90.0
97,88.0,90.0,85.0,90.0,90.0
98,88.0,90.0,85.0,90.0,90.0
99,88.0,90.0,88.0,90.0,92.0
100,90.0,92.0,88.0,90.0,84.0
101,89.0,92.0,87.0,90.0,91.0
102,90.0,92.0,87.0,90.0,87.0
103,97.0,92.0,90.0,93.0,87.0
104,97.0,85.0,90.0,93.0,87.0
105,97.0,87.0,90.0,93.0,90.0
106,97.0,87.0,90.0,93.0,90.0
107,97.0,87.0,90.0,93.0,90.0
108,97.0,88.0,90.0,93.0,88.0
109,97.0,88.0,90.0,89.0,88.0
110,87.0,90.0,90.0,89.0,88.0
111,87.0,90.0,93.0,90.0,88.0
112,86.0,90.0,93.0,90.0,88.0
113,90.0,90.0,93.0,90.0,88.0
114,90.0,90.0,93.0,90.0,88.0
115,87.0,90.0,90.0,90.0,88.0
116,91.0,90.0,90.0,91.0,90.0
117,91.0,90.0,92.0,91.0,90.0
118,92.0,92.0,92.0,91.0,92.0
119,97.0,91.0,92.0,91.0,92.0
120,97.0,91.0,92.0,91.0,90.0
121,97.0,90.0,85.0,91.0,83.0
122,97.0,90.0,85.0,88.0,91.0
123,96.0,88.0,85.0,88.0,91.0
124,96.0,90.0,85.0,88.0,91.0
125,96.0,92.0,85.0,88.0,87.0
126,96.0,92.0,87.0,88.0,88.0
127,96.0,90.0,89.0,88.0,88.0
128,96.0,90.0,91.0,90.0,88.0
129,96.0,90.0,91.0,90.0,88.0
130,96.0,90.0,91.0,90.0,88.0
131,86.0,90.0,91.0,90.0,88.0
132,86.0,84.0,90.0,90.0,88.0
133,86.0,84.0,90.0,90.0,88.0
134,86.0,84.0,90.0,90.0,90.0
135,86.0,83.0,90.0,90.0,90.0
136,86.0,83.0,90.0,93.0,90.0
137,86.0,91.0,93.0,93.0,92.0
138,91.0,91.0,92.0,93.0,90.0
139,87.0,91.0,92.0,93.0,89.0
140,87.0,91.0,91.0,93.0,89.0
141,87.0,87.0,91.0,93.0,89.0
142,89.0,87.0,91.0,93.0,89.0
143,90.0,87.0,91.0,90.0,89.0
144,96.0,90.0,87.0,90.0,90.0
145,95.0,90.0,87.0,90.0,83.0
146,95.0,90.0,87.0,90.0,82.0
147,95.0,88.0,87.0,87.0,82.0
148,95.0,88.0,90.0,89.0,81.0
149,86.0,90.0,90.0,88.0,87.0
150,86.0,92.0,88.0,88.0,86.0
151,86.0,90.0,88.0,91.0,86.0
152,86.0,90.0,90.0,91.0,88.0
153,86.0,90.0,90.0,91.0,88.0
154,86.0,83.0,90.0,91.0,88.0
155,91.0,82.0,90.0,88.0,88.0
156,91.0,87.0,92.0,88.0,90.0
157,89.0,87.0,92.0,88.0,91.0
158,88.0,87.0,92.0,88.0,91.0
159,91.0,87.0,90.0,88.0,91.0
160,91.0,86.0,84.0,88.0,91.0
161,91.0,88.0,83.0,88.0,91.0
162,90.0,87.0,91.0,88.0,91.0
163,90.0,91.0,87.0,88.0,91.0
164,87.0,92.0,87.0,90.0,92.0
165,87.0,92.0,87.0,90.0,90.0
166,87.0,92.0,90.0,90.0,89.0
167,95.0,90.0,90.0,90.0,89.0
